Frame,Class,Confidence,BBox
0,person,0.79,"[1006, 474, 1106, 685]"
0,person,0.77,"[1246, 569, 1341, 786]"
0,person,0.76,"[1666, 406, 1741, 584]"
0,person,0.76,"[1379, 437, 1478, 596]"
0,person,0.72,"[1808, 307, 1862, 476]"
0,person,0.68,"[1082, 301, 1132, 478]"
0,person,0.66,"[530, 539, 670, 798]"
0,person,0.58,"[706, 415, 763, 611]"
0,person,0.55,"[768, 423, 833, 623]"
0,person,0.47,"[1466, 286, 1532, 463]"
0,person,0.43,"[846, 843, 930, 965]"
0,person,0.33,"[495, 893, 576, 1036]"
0,person,0.29,"[821, 842, 930, 982]"
0,person,0.26,"[148, 809, 224, 940]"
29,person,0.82,"[1194, 591, 1324, 794]"
29,person,0.76,"[1021, 483, 1120, 686]"
29,person,0.75,"[1438, 408, 1547, 576]"
29,person,0.75,"[1687, 391, 1771, 587]"
29,person,0.66,"[1147, 300, 1203, 483]"
29,person,0.65,"[836, 836, 927, 980]"
29,person,0.63,"[612, 528, 694, 722]"
29,person,0.62,"[1821, 306, 1882, 473]"
29,person,0.57,"[528, 586, 644, 816]"
29,person,0.56,"[857, 408, 920, 613]"
29,person,0.55,"[1421, 289, 1491, 427]"
29,person,0.54,"[812, 401, 870, 591]"
29,person,0.42,"[955, 895, 1017, 964]"
29,person,0.38,"[727, 935, 804, 1004]"
29,skateboard,0.27,"[1469, 554, 1515, 578]"
58,person,0.76,"[1485, 405, 1630, 561]"
58,person,0.72,"[1206, 295, 1256, 471]"
58,person,0.72,"[542, 600, 632, 815]"
58,person,0.71,"[659, 546, 732, 737]"
58,person,0.67,"[1720, 387, 1799, 563]"
58,person,0.64,"[1083, 895, 1147, 1011]"
58,person,0.63,"[877, 841, 956, 1011]"
58,person,0.62,"[1411, 290, 1479, 415]"
58,person,0.61,"[905, 394, 962, 576]"
58,person,0.58,"[1100, 568, 1181, 787]"
58,person,0.58,"[1846, 308, 1911, 463]"
58,person,0.53,"[941, 404, 1000, 612]"
58,person,0.52,"[797, 930, 880, 1012]"
58,person,0.44,"[641, 893, 726, 1012]"
58,person,0.39,"[1039, 581, 1123, 687]"
58,person,0.36,"[502, 809, 578, 998]"
58,person,0.35,"[1062, 472, 1113, 634]"
58,person,0.31,"[1040, 472, 1116, 687]"
87,person,0.77,"[1223, 287, 1292, 457]"
87,person,0.74,"[1524, 399, 1644, 550]"
87,person,0.71,"[1191, 917, 1258, 1011]"
87,person,0.71,"[693, 561, 772, 749]"
87,person,0.68,"[1859, 298, 1912, 465]"
87,person,0.67,"[1354, 264, 1469, 418]"
87,person,0.66,"[530, 614, 608, 832]"
87,person,0.63,"[1718, 381, 1803, 553]"
